"chan2_name","sales1_name","chan1_name","dma1_name"
"Affiliates","Freedom Card - New Applications","Freedom","National"
"Affiliates","Ink Card - New Applications","Ink","National"
"Affiliates","Sapphire Card - New Applications","Sapphire","National"
"Affiliates","Slate Card - New Applications","Slate","National"
"Direct Mail","Business Checking - New Checking Accounts","Consumer","National"
"Direct Mail","Freedom Card - New Applications","Consumer","National"
"Direct Mail","Freedom Card - New Applications","Freedom","National"
"Direct Mail","Ink Card - New Applications","Ink","National"
"Direct Mail","Sapphire Card - New Applications","Sapphire","National"
"Direct Mail","Slate Card - New Applications","Slate","National"
"Magazine","Freedom Card - New Applications","Freedom","National"
"Magazine","Sapphire Card - New Applications","Sapphire","National"
"Newspaper","Business Checking - New Checking Accounts","Business","National"
"Newspaper","Sapphire Card - New Applications","Partner","National"
"Online Display","Business Checking - New Checking Accounts","Business","National"
"Online Display","Business Checking - New Checking Accounts","Ink","National"
"Online Display","Freedom Card - New Applications","Freedom","National"
"Online Display","Ink Card - New Applications","Ink","National"
"Online Display","Sapphire Card - New Applications","Sapphire","National"
"Online Display","Slate Card - New Applications","Sapphire","National"
"Online Video","Business Checking - New Checking Accounts","Business","National"
"Online Video","Freedom Card - New Applications","Freedom","National"
"Online Video","Sapphire Card - New Applications","Sapphire","National"
"Paid Search","Business Checking - New Checking Accounts","Consumer","National"
"Paid Search","Freedom Card - New Applications","Consumer","National"
"Paid Search","Freedom Card - New Applications","Multicard","National"
"Paid Search","Ink Card - New Applications","Ink","National"
"Paid Search","Ink Card - New Applications","Multicard","National"
"Paid Search","Sapphire Card - New Applications","Multicard","National"
"Paid Search","Sapphire Card - New Applications","Partner","National"
"Paid Search","Slate Card - New Applications","Multicard","National"
"Radio","Business Checking - New Checking Accounts","Business","National"
"Television","Business Checking - New Checking Accounts","Consumer","National"
"Television","Business Checking - New Checking Accounts","Ink","National"
"Television","Freedom Card - New Applications","Consumer","National"
"Television","Freedom Card - New Applications","Freedom","National"
"Television","Freedom Card - New Applications","Sapphire","National"
"Television","Ink Card - New Applications","Ink","National"
"Television","Sapphire Card - New Applications","Freedom","National"
"Television","Sapphire Card - New Applications","Sapphire","National"
"Television","Slate Card - New Applications","Freedom","National"
